posicao,variavel,importancia
1,saturacao_oxigenio,0.310878173723993
2,dor,0.21297038638481763
3,frequencia_cardiaca,0.17082834768436606
4,temperatura,0.1542186786217451
5,pressao_sistolica,0.06121756770291813
6,idade,0.024779154670694588
7,dispneia,0.02212389957291565
8,tempo_espera_min,0.014860591178334605
9,comorbidades,0.01149460399774833
10,febre,0.005395641827567655
11,sangramento,0.0047408899269905935
12,mobilidade_reduzida,0.004539326393937849
13,consciencia_alterada,0.0019527383139707783
